City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,tobruk,32.0836,23.9764,15.77,60,0,6.92,LY,1738698772
270,phan rang-thap cham,11.5667,108.9833,18.79,85,9,2.72,VN,1738698774
271,kayangel,8.0823,134.7173,26.36,86,100,7.8,PW,1738698776
272,altay,47.8667,88.1167,-15.33,57,0,4.41,CN,1738698777
273,goynuk,40.4003,30.7883,-2.07,86,65,2.26,TR,1738698778
274,zhangye,38.9342,100.4517,-11.16,65,78,2.11,CN,1738698779
275,kerman,30.2832,57.0788,-0.08,34,0,2.06,IR,1738698781
276,la passe,45.5549,-0.8967,7.47,71,0,0.82,FR,1738698782
277,shahr-e babak,30.1165,55.1186,4.41,40,0,3.28,IR,1738698783
278,ardabil,38.2498,48.2933,-2.25,59,0,4.12,IR,1738698784
279,nassau,40.7507,-73.5829,7.13,39,0,8.75,US,1738698633
280,iwon-up,40.3231,128.6553,-13.87,65,1,4.5,KP,1738698786
281,awjilah,29.1081,21.2869,14.13,54,66,4.78,LY,1738698788
282,yemetsk,63.4721,41.7941,-17.18,99,84,0.95,RU,1738698789
283,coyhaique,-45.5752,-72.0662,16.42,43,1,4.26,CL,1738698790
284,chimoio,-19.1164,33.4833,19.05,97,100,0.63,MZ,1738698792
285,stephenville,32.2207,-98.2023,15.07,55,100,3.09,US,1738698794
286,antsiranana,-12.2787,49.2917,24.69,91,100,4.38,MG,1738698795
287,riosucio,5.4216,-75.7032,23.0,72,89,0.8,CO,1738698796
288,susuman,62.7833,148.1667,-45.93,98,56,0.46,RU,1738698797
289,la gi,10.6667,107.7833,21.43,80,7,3.54,VN,1738698798
290,rickmansworth,51.6393,-0.473,9.34,91,75,4.63,GB,1738698799
291,trevelin,-43.0858,-71.4639,21.89,35,8,3.12,AR,1738698801
292,sungai raya,0.7,108.9,23.96,94,99,3.21,ID,1738698802
293,djougou,9.7085,1.666,28.56,13,9,2.44,BJ,1738698804
294,boyolangu,-8.1181,111.8935,24.29,89,100,2.93,ID,1738698805
295,peace river,56.2501,-117.286,-31.83,75,0,2.06,CA,1738698806
296,kirakira,-10.4544,161.9205,27.7,77,99,4.63,SB,1738698807
297,waddan,29.1614,16.139,14.0,39,100,3.63,LY,1738698808
298,kaiapoi,-43.3783,172.6401,14.7,87,87,1.03,NZ,1738698810
299,madimba,-10.4,40.3333,26.39,84,100,6.35,TZ,1738698811
300,san mariano,7.5,126.0,21.34,95,100,1.02,PH,1738698812
301,santa maria,-29.6842,-53.8069,37.61,34,40,1.54,BR,1738698284
302,sabya,17.1495,42.6254,25.79,64,61,3.13,SA,1738698814
303,nova vicosa,-17.8919,-39.3719,28.0,68,0,5.53,BR,1738698815
304,vila velha,-20.3297,-40.2925,29.97,58,20,7.72,BR,1738698548
305,necochea,-38.5473,-58.7368,21.7,40,1,6.59,AR,1738698818
